,City,City_id,Cloudiness,Country,Humidity,Latitude,Temparature (Celsius),Windspeed
0,Atoyac,4017987,5,MX,30,20.02,299.15,2.1
1,Campbellton,6696258,88,CA,85,48.0,269.153,3.68
2,Suesca,3667717,40,CO,52,5.1,292.15,6.7
3,Fantino,3505778,20,DO,45,19.12,301.82,4.1
4,Limeira,3458575,40,BR,45,-22.56,303.63,3.1
5,Makrygialos,735348,40,GR,52,40.42,278.15,2.1
6,Tomas Oppus,1681544,0,PH,89,10.25,297.928,3.88
7,Lansdale,5197159,90,US,62,40.24,287.51,3.6
8,Yarumal,3787902,24,CO,100,6.89,288.853,1.33
9,Giarmata,677294,90,RO,85,45.84,268.15,3.6
10,Caridad,1718412,88,PH,100,10.83,297.653,1.63
11,Tambakharjo,6737757,64,ID,100,-6.95,293.978,0.98
12,Thessalon,6164831,90,CA,82,46.25,274.42,1.43
13,Mohnesee,3207377,0,DE,45,51.5,267.65,9.3
14,San Salvador,1690681,0,PH,89,11.0,295.553,2.33
15,Zacamulpa,3827416,5,MX,29,19.36,298.62,3.1
16,Pristen,505154,90,RU,85,51.29,264.15,7.0
17,Ankola,1278551,0,IN,94,14.67,295.903,2.68
18,East Hemet,5344942,1,US,54,33.74,287.36,2.1
19,Maquiling,1701195,76,PH,95,10.78,298.953,2.88
20,Gambela,337405,0,ET,70,8.25,290.103,0.13
21,La Mesa,3707227,0,PA,40,8.15,303.028,2.28
22,Bischofsheim,2948290,0,DE,48,49.99,273.15,7.7
23,Soppeenmäki,636270,0,FI,84,61.55,254.15,1.08
24,Chisindia,682011,88,RO,100,46.28,268.15,4.1
25,Tamamura,1850746,1,JP,44,36.3,277.15,5.38
26,Jenbach,2775093,40,AT,63,47.4,271.15,2.6
27,Salvacion,1690710,80,PH,100,13.02,296.453,1.23
28,Gudermes,558118,92,RU,89,43.39,273.728,6.18
29,Puerto Suárez,3444199,75,BO,94,-18.95,300.15,1.08
30,Ticala-an,1682122,44,PH,94,8.04,293.303,0.98
31,Cataguases,3466698,24,BR,90,-21.4,298.478,1.43
32,Maryville,4639848,90,US,100,35.76,287.13,3.1
33,Richmond,4305974,90,US,93,37.75,287.92,7.7
34,Sadovoye,499535,92,RU,90,47.78,264.203,4.13
35,Itanhaem,3460791,90,BR,78,-24.18,300.12,3.1
36,Manavgat,304854,0,TR,40,36.79,285.15,5.7
37,Szany,3044909,90,HU,73,47.46,266.15,2.1
38,Irakleio,261743,40,GR,71,38.07,284.14,2.1
39,Bundaberg,2173323,8,AU,100,-24.87,299.528,2.58
40,Mehamn,778707,75,NO,92,71.03,269.72,4.1
41,Tournai,2785341,90,BE,37,50.6,274.15,9.3
42,Novaya Usman,519447,90,RU,78,51.64,264.15,7.0
43,Diepoldsau,2661021,0,CH,62,47.38,270.21,3.6
44,Sivas,300619,0,TR,85,39.75,264.15,3.1
45,Iznoski,554776,88,RU,82,54.99,259.678,5.48
46,Kommunar,545788,0,RU,84,59.62,258.15,1.0
47,Mercogliano,3173555,40,IT,63,40.92,285.04,4.1
48,Sidvokodvo,934862,0,SZ,93,-26.62,291.15,0.5
49,Suratgarh,1255361,12,IN,67,29.32,292.428,2.43
50,Colquechaca,3919720,56,BO,86,-18.67,284.653,1.08
51,Pesqueira,3392251,92,BR,83,-8.37,295.703,4.13
52,Parede,2265169,20,PT,71,38.69,285.29,4.1
53,Pargas,642675,0,FI,77,60.3,258.15,1.0
54,Libertad,1706688,0,PH,100,8.25,298.153,1.88
55,Bagnolo Mella,3182500,90,IT,100,45.43,271.15,2.1
56,Warin Chamrap,1605069,8,TH,78,15.19,299.15,1.63
57,Petersberg,6553252,20,DE,45,50.57,268.15,5.1
58,Huichapan,3526923,5,MX,27,20.38,299.15,5.1
59,Syriam,1295395,40,MM,73,16.77,298.15,1.5
60,Saltpond,2295672,8,GH,72,5.2,299.228,2.28
61,Chapayevka,710950,32,UA,80,47.47,263.028,3.88
62,Baia de Aries,685834,0,RO,67,46.38,264.58,2.1
63,Jibert,675266,76,RO,59,46.0,257.478,1.23
64,Damara,2387435,48,CF,65,4.97,299.028,3.58
65,Dipalpur,1179760,48,PK,75,30.67,290.353,1.08
66,Duyun,1811764,92,CN,99,26.27,287.178,1.18
67,Hajdusamson,720280,36,HU,62,47.6,269.15,1.5
68,Akureyri,2633274,90,IS,80,65.67,272.15,2.6
69,Cetariu,682270,20,RO,62,47.13,269.15,1.5
70,Oisterwijk,2749680,90,NL,39,51.58,271.04,9.8
71,Dos Hermanas,1714374,0,PH,89,10.74,295.553,2.33
72,Morro da Fumaca,3456707,68,BR,90,-28.67,298.953,3.43
73,High Valleyfield,2646921,90,GB,86,56.07,272.66,11.3
74,Grakhovo,559073,0,RU,65,56.05,257.15,5.0
75,Dion,735342,40,GR,52,40.17,278.15,2.1
76,Mhango,154002,80,TZ,100,-3.28,291.178,2.43
77,Kepala Batas,1735506,75,MY,88,5.52,300.22,1.5
78,Nerang,2155542,75,AU,78,-27.99,297.15,3.1
79,Taranagar,1254908,8,IN,68,28.67,291.653,2.13
80,Omsukchan,2122493,68,RU,79,62.53,247.353,1.38
81,Lubben,2875625,0,DE,61,51.95,264.72,5.7
